marketcap,volume,timestamp,name,symbol,slug
1422894000.4517307,176851530.4103087,,,,dogecoin
1396440793.7775245,180749740.02517897,,,,dogecoin
1291278411.2197065,357442924.7033484,,,,dogecoin
1275877286.49501,7454000.79133616,,,,dogecoin
1253697767.8109858,94981407.84024212,,,,dogecoin
1194809796.0419006,7841530.22743828,,,,dogecoin
1181575968.3306777,22557350.94998009,,,,dogecoin
1124032250.0829308,128427793.53145401,,,,dogecoin
1114998235.3094077,235220278.3197254,,,,dogecoin
1091719546.0956903,98445899.1892625,,,,dogecoin
1089787140.9041514,164059721.25079295,,,,dogecoin
1081711145.3681974,147443034.80255774,,,,dogecoin
1040536465.3001064,227034169.6912667,,,,dogecoin
1079646009120.7388,61696004735.95695,,,,tether
466934170135.17035,52018751754.36042,,,,tether
101381074272.82687,4392656297.297935,,,,tether
64538730791.89946,27238704823.46822,,,,tether
55795362812.77694,162927017301.84094,,,,tether
55580393492.78384,7075537750.299573,,,,tether
54671183519.00901,8064942441.018638,,,,tether
37117326722.60037,2381851607.164854,,,,tether
27070646550.024002,7375326054.641679,,,,tether
25659995740.74873,11490616263.42628,,,,tether
20975485560.13515,3085866393.110132,,,,tether
20615572057.163265,641758980.2916243,,,,tether
16897799235.887249,4494441480.21667,,,,tether
14382240741.817444,2494385674.3730154,,,,tether
14264912536.664877,2110101187.1090434,,,,tether
13675631308.952553,13091332598.413498,,,,tether
12050560640.581993,396689663.34943205,,,,tether
12050439999.18832,9550963068.904085,,,,tether
11529078657.35703,354102571.2903244,,,,tether
10165170493.631905,3559512607.060017,,,,tether
9994246021.631067,283262836.8258186,,,,tether
10008986986.817421,986016837.6331116,,,,tether
9568228985.24793,6950211525.516094,,,,tether
8408443123.645745,615618583.5831556,,,,tether
8203959232.898095,1478163002.383262,,,,tether
7799613620.754869,8782125390.634129,,,,tether
6601590050.94691,460496647.51888734,,,,tether
6560398745.044624,1824043747.4553757,,,,tether
6326713209.311877,429662554.19584274,,,,tether
6053677775.58322,195865005.99694893,,,,tether
5841901499.814023,814644975.7455525,,,,tether
5785938092.49432,109860848.41000652,,,,tether
5778597317.645634,381411872.21600175,,,,tether
5347940314.424069,350275910.0211909,,,,tether
5181326299.520671,321177467.6369935,,,,tether
5153007396.035365,1494294864.9598,,,,tether
5121863195.881598,57036181.89378007,,,,tether
5046500043.67912,369080485.4762549,,,,tether
4705609904.489036,517819451.17503875,,,,tether
4701629564.653018,2061048149.9521098,,,,tether
4590998446.694672,1532881520.3008559,,,,tether
4532788018.462711,109003356.50906597,,,,tether
4453050994.498135,241364936.96907362,,,,tether
4153552894.102049,1222795168.714254,,,,tether
